schooltype,Arab,Grouptype,Group Name,SelfTransendence,OpenessToChange,Conservation,SelfEnhancement,,,,,,
2.00,1.00,5,Arab=Mix,1.10,0.10,-0.23,-0.23,,,,,,
2.00,1.00,5,Arab=Mix,0.00,0.00,0.00,0.00,,,,,,
2.00,1.00,5,Arab=Mix,1.20,-0.13,0.20,-0.80,,,,,,
2.00,1.00,5,Arab=Mix,0.40,1.07,-0.60,-0.27,,,,,,
2.00,1.00,5,Arab=Mix,-0.90,1.27,-1.07,0.93,,,,,,
2.00,1.00,5,Arab=Mix,0.90,0.57,-0.77,-0.10,,,,,,
2.00,1.00,5,Arab=Mix,0.20,0.20,0.20,-0.47,,,,,,
2.00,1.00,5,Arab=Mix,1.30,1.47,-1.53,-0.20,,,,,,
2.00,1.00,5,Arab=Mix,-1.80,0.87,0.87,-0.47,,,,,,
2.00,1.00,5,Arab=Mix,1.60,0.60,-1.73,0.27,,,,,,
2.00,1.00,5,Arab=Mix,1.70,-0.97,0.03,-0.63,,,,,,
2.00,1.00,5,Arab=Mix,-0.70,1.30,-0.37,-0.03,,,,,,
2.00,1.00,5,Arab=Mix,0.50,0.33,-0.67,0.33,,,,,,
2.00,1.00,5,Arab=Mix,-0.60,1.40,-0.27,-0.27,,,,,,
2.00,1.00,5,Arab=Mix,0.60,0.27,-0.07,-0.40,,,,,,
2.00,1.00,5,Arab=Mix,1.00,1.00,-0.67,-0.67,,,,,,
2.00,1.00,5,Arab=Mix,0.20,0.37,0.70,-0.97,,,,,,
2.00,1.00,5,Arab=Mix,0.90,0.23,-1.10,0.23,,,,,,
2.00,1.00,5,Arab=Mix,1.00,0.33,-0.33,-0.33,,,,,,
2.00,1.00,5,Arab=Mix,-0.20,0.63,-0.37,0.30,,,,,,
2.00,1.00,5,Arab=Mix,0.90,0.57,-0.77,-0.10,,,,,,
2.00,1.00,5,Arab=Mix,0.80,0.30,-0.70,-0.03,,,,,,
2.00,1.00,5,Arab=Mix,0.30,0.30,-0.37,-0.03,,,,,,
2.00,1.00,5,Arab=Mix,1.30,-0.87,0.13,0.13,,,,,,
2.00,1.00,5,Arab=Mix,-0.50,0.50,-0.17,0.50,,,,,,
2.00,1.00,5,Arab=Mix,0.40,-0.10,0.90,-1.43,,,,,,
2.00,1.00,5,Arab=Mix,0.20,0.20,0.53,-1.13,,,,,,
2.00,1.00,5,Arab=Mix,0.00,1.50,-0.50,-1.17,,,,,,
2.00,1.00,5,Arab=Mix,1.80,-0.03,-1.37,0.63,,,,,,
2.00,1.00,5,Arab=Mix,1.40,0.23,-0.43,-0.43,,,,,,
2.00,1.00,5,Arab=Mix,0.80,1.30,-1.03,-0.37,,,,,,
3.00,1.00,6,ArabSeg,-0.50,0.50,-0.17,0.17,,,,,,
3.00,1.00,6,ArabSeg,0.00,-0.17,0.17,0.17,,,,,,
3.00,1.00,6,ArabSeg,0.00,1.33,-0.67,-0.33,,,,,,
3.00,1.00,6,ArabSeg,0.10,0.10,-0.23,0.10,,,,,,
3.00,1.00,6,ArabSeg,0.50,0.50,0.50,-1.17,,,,,,
3.00,1.00,6,ArabSeg,-0.70,0.97,0.63,-0.37,,,,,,
3.00,1.00,6,ArabSeg,-0.40,-0.90,1.77,-0.90,,,,,,
3.00,1.00,6,ArabSeg,0.90,0.07,0.73,-0.93,,,,,,
3.00,1.00,6,ArabSeg,-1.40,0.77,1.10,-0.90,,,,,,
3.00,1.00,6,ArabSeg,1.30,-0.37,1.30,-1.70,,,,,,
3.00,1.00,6,ArabSeg,0.00,0.00,0.00,0.00,,,,,,
3.00,1.00,6,ArabSeg,0.00,0.00,1.00,-1.00,,,,,,
3.00,1.00,6,ArabSeg,-1.40,-0.23,1.77,-0.23,,,,,,
3.00,1.00,6,ArabSeg,-1.80,-0.13,1.53,0.20,,,,,,
3.00,1.00,6,ArabSeg,-0.60,0.57,0.90,-0.77,,,,,,
3.00,1.00,6,ArabSeg,-1.00,-0.83,1.50,-1.17,,,,,,
3.00,1.00,6,ArabSeg,0.70,-0.13,0.53,-1.47,,,,,,
3.00,1.00,6,ArabSeg,0.40,0.40,0.40,-0.93,,,,,,
3.00,1.00,6,ArabSeg,-0.40,1.10,0.43,-0.90,,,,,,
3.00,1.00,6,ArabSeg,0.50,0.50,0.50,-1.17,,,,,,
3.00,1.00,6,ArabSeg,0.60,0.10,0.10,-0.23,,,,,,
3.00,1.00,6,ArabSeg,0.00,0.00,0.00,0.00,,,,,,
3.00,1.00,6,ArabSeg,0.50,0.50,0.50,-1.17,,,,,,
3.00,1.00,6,ArabSeg,0.40,-0.27,1.40,-1.27,,,,,,
3.00,1.00,6,ArabSeg,0.50,0.50,-1.17,0.50,,,,,,
3.00,1.00,6,ArabSeg,0.50,-0.17,0.50,-0.83,,,,,,
3.00,1.00,6,ArabSeg,1.40,-0.60,0.40,-0.60,,,,,,
3.00,1.00,6,ArabSeg,-0.30,0.70,0.70,-0.97,,,,,,
3.00,1.00,6,ArabSeg,-1.50,0.17,0.50,0.50,,,,,,
3.00,1.00,6,ArabSeg,-0.30,-0.47,0.53,-0.13,,,,,,
3.00,1.00,6,ArabSeg,-1.30,0.53,1.20,-0.47,,,,,,
3.00,1.00,6,ArabSeg,-0.40,-0.23,1.10,-0.23,,,,,,
3.00,1.00,6,ArabSeg,-0.10,0.07,-0.27,0.40,,,,,,
3.00,1.00,6,ArabSeg,0.20,0.03,-0.30,0.03,,,,,,
3.00,1.00,6,ArabSeg,0.50,-0.50,1.17,-0.83,,,,,,
3.00,1.00,6,ArabSeg,-1.50,0.83,-0.50,0.83,,,,,,
3.00,1.00,6,ArabSeg,-0.20,-0.20,1.80,-0.87,,,,,,
3.00,1.00,6,ArabSeg,-0.50,0.00,0.67,-0.67,,,,,,
3.00,1.00,6,ArabSeg,0.70,-0.47,1.20,-0.80,,,,,,
3.00,1.00,6,ArabSeg,0.70,0.53,-0.13,-1.13,,,,,,
3.00,1.00,6,ArabSeg,-1.00,0.00,1.33,0.00,,,,,,
3.00,1.00,6,ArabSeg,-1.20,0.97,1.30,-1.37,,,,,,
3.00,1.00,6,ArabSeg,0.60,0.43,-0.57,-0.57,,,,,,
3.00,1.00,6,ArabSeg,-0.20,0.80,0.13,-0.53,,,,,,
3.00,1.00,6,ArabSeg,0.40,0.23,0.57,-1.43,,,,,,
3.00,1.00,6,ArabSeg,1.10,0.27,-0.40,-0.73,,,,,,
3.00,1.00,6,ArabSeg,0.60,0.27,-0.40,-0.07,,,,,,
3.00,1.00,6,ArabSeg,0.20,-0.13,0.87,-1.13,,,,,,
3.00,1.00,6,ArabSeg,-2.00,0.50,0.50,0.50,,,,,,
3.00,1.00,6,ArabSeg,-1.90,-0.40,2.27,-0.73,,,,,,
3.00,1.00,6,ArabSeg,-1.10,0.73,-0.93,1.07,,,,,,
3.00,1.00,6,ArabSeg,-0.60,1.90,0.23,-1.10,,,,,,
3.00,1.00,6,ArabSeg,-0.80,0.20,0.53,0.20,,,,,,
3.00,1.00,6,ArabSeg,-0.50,0.17,0.50,-0.50,,,,,,
3.00,1.00,6,ArabSeg,0.60,-0.57,0.43,-0.23,,,,,,
3.00,1.00,6,ArabSeg,-1.30,-0.30,-0.63,1.37,,,,,,
3.00,1.00,6,ArabSeg,0.70,0.03,0.03,-0.63,,,,,,
3.00,1.00,6,ArabSeg,-0.30,0.37,0.37,-0.30,,,,,,
3.00,1.00,6,ArabSeg,-1.20,0.97,0.63,-0.37,,,,,,
3.00,1.00,6,ArabSeg,0.50,-1.17,0.50,0.50,,,,,,
3.00,1.00,6,ArabSeg,0.70,-0.30,0.70,-0.63,,,,,,
3.00,1.00,6,ArabSeg,1.00,1.00,-1.00,-0.33,,,,,,
3.00,1.00,6,ArabSeg,0.90,0.23,0.23,-0.77,,,,,,
3.00,1.00,6,ArabSeg,0.00,0.00,0.00,0.00,,,,,,
3.00,1.00,6,ArabSeg,-0.20,-0.20,1.13,-0.20,,,,,,
3.00,1.00,6,ArabSeg,0.80,0.80,-0.20,-0.87,,,,,,
3.00,1.00,6,ArabSeg,-0.40,0.60,-0.07,0.27,,,,,,
3.00,1.00,6,ArabSeg,1.40,1.07,-0.93,-0.60,,,,,,
3.00,1.00,6,ArabSeg,0.90,-0.43,0.90,-0.77,,,,,,
3.00,1.00,6,ArabSeg,0.60,-0.07,0.27,-0.40,,,,,,
3.00,1.00,6,ArabSeg,0.00,0.17,-0.17,0.50,,,,,,
3.00,1.00,6,ArabSeg,-1.00,-0.17,1.50,-1.17,,,,,,
3.00,1.00,6,ArabSeg,-2.10,0.23,0.90,0.23,,,,,,
3.00,1.00,6,ArabSeg,0.00,0.00,0.00,0.00,,,,,,
3.00,1.00,6,ArabSeg,-0.40,0.60,0.60,-0.73,,,,,,
3.00,1.00,6,ArabSeg,0.60,0.60,-0.73,-0.07,,,,,,
3.00,1.00,6,ArabSeg,0.10,0.10,0.10,-0.23,,,,,,
3.00,1.00,6,ArabSeg,0.20,-0.13,-0.13,0.20,,,,,,
3.00,1.00,6,ArabSeg,0.30,0.30,-0.03,-0.37,,,,,,
3.00,1.00,6,ArabSeg,1.70,-1.30,1.37,-1.97,,,,,,
3.00,1.00,6,ArabSeg,0.30,-0.37,0.63,-0.37,,,,,,
3.00,1.00,6,ArabSeg,0.30,-0.03,0.63,-0.70,,,,,,
3.00,1.00,6,ArabSeg,0.00,0.00,0.00,0.00,,,,,,
3.00,1.00,6,ArabSeg,-0.80,-0.47,1.87,-1.13,,,,,,
3.00,1.00,6,ArabSeg,-0.50,0.67,0.33,-0.33,,,,,,
3.00,1.00,6,ArabSeg,1.00,0.33,0.00,-0.67,,,,,,
3.00,1.00,6,ArabSeg,0.80,-0.53,1.13,-1.53,,,,,,
3.00,1.00,6,ArabSeg,1.00,0.00,0.33,-1.67,,,,,,
3.00,1.00,6,ArabSeg,1.00,0.00,0.33,-0.67,,,,,,
3.00,1.00,6,ArabSeg,0.60,0.77,-0.57,-0.23,,,,,,
3.00,1.00,6,ArabSeg,0.60,-0.23,0.77,-0.90,,,,,,
3.00,1.00,6,ArabSeg,-0.50,0.50,-0.17,1.17,,,,,,
3.00,1.00,6,ArabSeg,0.40,-0.10,0.90,-0.77,,,,,,
3.00,1.00,6,ArabSeg,1.00,0.00,0.33,-0.67,,,,,,
3.00,1.00,6,ArabSeg,1.00,0.67,-0.33,-0.67,,,,,,
3.00,1.00,6,ArabSeg,0.10,0.60,-0.73,0.27,,,,,,
3.00,1.00,6,ArabSeg,0.80,-0.20,0.47,-0.87,,,,,,
3.00,1.00,6,ArabSeg,1.10,-0.90,1.10,-1.57,,,,,,
3.00,1.00,6,ArabSeg,0.20,0.53,-0.47,0.20,,,,,,
3.00,1.00,6,ArabSeg,0.70,0.20,-0.13,-0.13,,,,,,
3.00,1.00,6,ArabSeg,-1.70,0.13,0.80,-0.20,,,,,,
3.00,1.00,6,ArabSeg,-0.10,0.40,-0.27,0.07,,,,,,
3.00,1.00,6,ArabSeg,-0.30,0.53,0.87,-0.80,,,,,,
3.00,1.00,6,ArabSeg,1.00,0.17,0.83,-1.17,,,,,,
3.00,1.00,6,ArabSeg,0.50,-0.33,-0.67,0.67,,,,,,
3.00,1.00,6,ArabSeg,0.30,0.80,-0.20,-0.53,,,,,,
3.00,1.00,6,ArabSeg,1.00,1.00,-1.33,0.00,,,,,,
3.00,1.00,6,ArabSeg,0.60,0.60,0.27,-1.07,,,,,,
3.00,1.00,6,ArabSeg,0.30,-0.20,0.47,-0.53,,,,,,
3.00,1.00,6,ArabSeg,1.10,0.77,-0.23,-1.23,,,,,,
3.00,1.00,6,ArabSeg,1.00,0.50,-0.83,-0.17,,,,,,
3.00,1.00,6,ArabSeg,1.20,1.03,-0.63,-0.63,,,,,,
3.00,1.00,6,ArabSeg,0.70,-0.30,0.70,-0.63,,,,,,
3.00,1.00,6,ArabSeg,0.30,-1.03,1.30,-0.70,,,,,,
3.00,1.00,6,ArabSeg,-0.20,0.80,-0.20,-0.20,,,,,,
3.00,1.00,6,ArabSeg,0.80,1.13,-1.20,0.47,,,,,,
3.00,1.00,6,ArabSeg,-0.10,-0.77,0.90,-1.10,,,,,,
3.00,1.00,6,ArabSeg,-2.00,1.00,0.00,1.00,,,,,,
3.00,1.00,6,ArabSeg,1.00,-1.17,0.83,-1.17,,,,,,
3.00,1.00,6,ArabSeg,0.40,0.40,-0.27,-0.27,,,,,,
3.00,1.00,6,ArabSeg,-2.20,0.63,0.97,0.30,,,,,,
3.00,1.00,6,ArabSeg,-0.30,-0.30,0.37,-0.30,,,,,,
3.00,1.00,6,ArabSeg,0.50,0.50,0.50,-1.17,,,,,,
3.00,1.00,6,ArabSeg,1.00,0.67,-0.67,-0.33,,,,,,
3.00,1.00,6,ArabSeg,0.80,0.13,-0.20,-0.87,,,,,,
3.00,1.00,6,ArabSeg,0.60,0.27,0.60,-1.07,,,,,,
3.00,1.00,6,ArabSeg,0.40,0.90,-0.10,-0.77,,,,,,
3.00,1.00,6,ArabSeg,1.90,-0.27,0.07,-1.27,,,,,,
3.00,1.00,6,ArabSeg,0.60,-1.57,1.43,-0.57,,,,,,
3.00,1.00,6,ArabSeg,-0.40,0.77,-0.90,0.77,,,,,,
3.00,1.00,6,ArabSeg,0.50,1.17,-1.17,0.17,,,,,,
3.00,1.00,6,ArabSeg,0.70,1.20,-1.47,0.20,,,,,,
3.00,1.00,6,ArabSeg,0.50,0.50,-0.50,-0.17,,,,,,
3.00,1.00,6,ArabSeg,1.00,1.17,-1.50,0.17,,,,,,
3.00,1.00,6,ArabSeg,0.70,0.70,-1.63,0.70,,,,,,
3.00,1.00,6,ArabSeg,-0.30,0.37,0.70,-1.30,,,,,,
3.00,1.00,6,ArabSeg,0.70,0.70,-0.97,0.03,,,,,,
3.00,1.00,6,ArabSeg,0.00,2.00,-0.67,-0.67,,,,,,
3.00,1.00,6,ArabSeg,-0.50,0.33,-0.33,0.67,,,,,,
3.00,1.00,6,ArabSeg,0.20,-0.13,0.53,-0.47,,,,,,
3.00,1.00,6,ArabSeg,-0.10,0.40,0.07,0.07,,,,,,
3.00,1.00,6,ArabSeg,0.40,0.07,0.07,-0.27,,,,,,
3.00,1.00,6,ArabSeg,0.40,-0.93,1.07,-0.60,,,,,,
3.00,1.00,6,ArabSeg,0.40,0.07,0.40,-0.27,,,,,,
3.00,1.00,6,ArabSeg,1.10,0.93,-1.40,0.27,,,,,,
3.00,1.00,6,ArabSeg,0.70,0.37,-0.30,0.03,,,,,,
3.00,1.00,6,ArabSeg,0.20,-0.47,0.20,-0.47,,,,,,
3.00,1.00,6,ArabSeg,-0.70,-0.70,0.97,-0.03,,,,,,
3.00,1.00,6,ArabSeg,-0.40,-0.40,0.27,0.27,,,,,,
3.00,1.00,6,ArabSeg,-1.40,0.60,-0.07,0.60,,,,,,
3.00,1.00,6,ArabSeg,-0.10,0.90,0.90,-1.43,,,,,,
3.00,1.00,6,ArabSeg,1.40,0.07,-0.27,-0.93,,,,,,
3.00,1.00,6,ArabSeg,-0.60,0.73,-0.27,0.40,,,,,,
3.00,1.00,6,ArabSeg,-0.30,0.03,0.37,-0.30,,,,,,
3.00,1.00,6,ArabSeg,0.50,0.33,0.33,-0.67,,,,,,
3.00,1.00,6,ArabSeg,-0.10,0.40,0.73,-1.27,,,,,,
3.00,1.00,6,ArabSeg,0.10,0.43,-0.23,0.10,,,,,,
3.00,1.00,6,ArabSeg,1.70,-0.63,1.70,-1.63,,,,,,
3.00,1.00,6,ArabSeg,1.20,-0.13,-0.13,-0.47,,,,,,
3.00,1.00,6,ArabSeg,-1.40,0.43,0.77,-0.23,,,,,,
3.00,1.00,6,ArabSeg,0.50,1.00,-1.33,0.33,,,,,,
3.00,1.00,6,ArabSeg,0.00,-0.17,0.50,-0.50,,,,,,
3.00,1.00,6,ArabSeg,0.00,0.17,-0.50,0.50,,,,,,
3.00,1.00,6,ArabSeg,-0.90,2.10,0.43,-1.23,,,,,,
3.00,1.00,6,ArabSeg,-1.20,-0.03,0.30,-0.37,,,,,,
3.00,1.00,6,ArabSeg,0.80,0.47,0.13,-0.87,,,,,,
3.00,1.00,6,ArabSeg,1.70,-0.13,-0.47,-0.80,,,,,,
3.00,1.00,6,ArabSeg,0.80,0.63,-0.70,-0.70,,,,,,
3.00,1.00,6,ArabSeg,0.20,-0.13,0.53,0.20,,,,,,
3.00,1.00,6,ArabSeg,0.20,0.53,-0.13,-0.13,,,,,,
3.00,1.00,6,ArabSeg,-1.80,0.20,0.20,1.20,,,,,,
3.00,1.00,6,ArabSeg,0.20,1.20,-0.47,-0.47,,,,,,
3.00,1.00,6,ArabSeg,0.70,-0.13,0.87,-1.47,,,,,,
3.00,1.00,6,ArabSeg,0.60,0.43,-0.23,-0.23,,,,,,
3.00,1.00,6,ArabSeg,0.70,0.87,-0.47,-0.47,,,,,,
3.00,1.00,6,ArabSeg,-0.40,-0.07,0.27,0.60,,,,,,
3.00,1.00,6,ArabSeg,0.60,-0.73,1.27,-0.73,,,,,,
3.00,1.00,6,ArabSeg,0.20,-0.80,0.20,0.20,,,,,,
3.00,1.00,6,ArabSeg,0.10,0.77,-0.23,-0.23,,,,,,
3.00,1.00,6,ArabSeg,0.00,0.00,0.00,0.00,,,,,,
3.00,1.00,6,ArabSeg,0.20,0.37,-0.97,0.70,,,,,,
3.00,1.00,6,ArabSeg,3.60,-0.90,-0.90,-0.90,,,,,,
3.00,1.00,6,ArabSeg,0.20,-1.30,1.03,0.03,,,,,,
3.00,1.00,6,ArabSeg,0.10,-0.23,0.43,-0.23,,,,,,
3.00,1.00,6,ArabSeg,-0.30,0.20,0.53,0.20,,,,,,
3.00,1.00,6,ArabSeg,-1.40,0.10,0.10,1.10,,,,,,
3.00,1.00,6,ArabSeg,0.40,-0.93,1.07,-0.93,,,,,,
3.00,1.00,6,ArabSeg,0.70,-0.30,0.03,0.37,,,,,,
3.00,1.00,6,ArabSeg,0.00,0.00,1.00,-0.67,,,,,,
3.00,1.00,6,ArabSeg,1.00,0.17,-0.17,-0.83,,,,,,
3.00,1.00,6,ArabSeg,1.00,-1.33,1.00,-0.67,,,,,,
3.00,1.00,6,ArabSeg,0.10,-0.90,1.10,-0.23,,,,,,
